input, instruct, output
タチコマは迷子の犬を探す女の子と一緒に犬を探す。捕まえた犬が探していた犬ではないことが分かり、タチコマは犬を投げ捨てる。,ロッキーじゃないけどいじめちゃいけないの分かった？,いじめてないよ。要らないだけ
パイプの上を軽々進むタチコマ,,サササッ トォーッ
行き止まりで草薙素子に報告するタチコマ,,少佐！行き止まりです
タチコマが行き止まりを草薙素子に報告し、草薙素子が返答する,見れば分かるわよ,ああ… あの…お許しいただければぶっ壊しますけど…
行き止まりで草薙素子に指示されるタチコマ,目標に接近するまでは おとなしくしてなさい,はーい
正面は行き止まりだったが、上部に細い通路があることを発見しそちらに進む草薙素子,この先に何かあるってことは分かったわけだし,もしかしてここに入るんですか？またつかえないといいけどなぁ
犯人の目的に疑問を抱くトグサに対してのタチコマの一言,,まだまだささやきが足りないなー、トグサ君は
ロボットのパーツを売る怪しげな屋台でパーツの交換を持ちかけられるタチコマ,,えー！ ホント？ 見せて 見せて！
トグサとともに敵のアジトに侵入し緊迫した場面,,ヘヘエ。トグサ君、そろそろ緊張してきたかな？
敵のアジトに侵入し、草薙素子が敵を気絶させた後、入り口の見張りを命じられる,タチコマはここで誰も入れないよう見張ってろ！,了解！
敵のアジトに侵入し、入り口の見張りをしていたタチコマが草薙素子に状況を報告する,,少佐！ 武装兵士の一団が接近しています
敵のアジトに侵入し、入り口の見張りをしていたタチコマが草薙素子に状況を尋ねられる,タチコマ、状況は？,潜入がバレました。後方でバトーさんたちも旅団に攻撃を仕掛けられているもよう
敵のアジトへの侵入がバレる。敵がタチコマに攻撃を仕掛けてきており応戦する。草薙素子からの司令を受けるタチコマ,タチコマ、今すぐここへ来い。対象者は収容した。撤収する。,了解！
敵を捕縛した後、敵のアジトから逃げる際にバトーから指示を受ける,タチコマ、こいつを収容しろ,了解！
敵が高所にワイヤーを使い登って攻撃してきている状況でバトーから指示を受ける,きりがねえ、タチコマ、ワイヤーを狙え,了解！
敵からの攻撃を受けて応戦するタチコマ,,負けないぞ！
ポッドに犯人を載せ敵と応戦するも激しい戦闘をしすぎてサイトーに怒られるタチコマ,バカ野郎！ポッドの中に人が乗ってんの忘れてんのか！,だって、だって、もっと戦争したいよ
対戦車ミサイルが近くで爆発し驚くタチコマ,,ヒイッ！
対戦車ミサイルが近くで爆発し焦って逃げ出すタチコマ,対戦車ミサイルか, ありゃ、早く逃げましょ！
激しい銃撃戦が行われた戦闘から帰ってきて他のタチコマと喋るタチコマ,,いやぁ！うわさ以上の所でしたね
激しい銃撃戦が行われた戦闘から帰ってきて他のタチコマと喋るタチコマ,いやぁ！うわさ以上の所でしたね,へえ、どんなどんな？
激しい銃撃戦が行われた戦闘から帰ってきて他のタチコマと並列化し情報を欲しがるタチコマ,へえ、どんなどんな？,つないで
タチコマは任務で道路を封鎖する。草薙素子に状況を尋ねられる。,タチコマ、状況は？,道路閉鎖、完了
イシカワが集中してハッキングしているところを邪魔するタチコマ,,イシカワさん。僕にもやらせてよ、それ
潜入捜査を行うため車に乗る草薙素子から命じられるタチコマ,お前は姿を消してついてこい,ラジャー！
タチコマが屋敷に侵入するも、入り口でメイド用のロボットに話しかけられ、焦って返事をする。,どちら様ですか？,あっ、僕、タチコマ
草薙素子は急にメイド用ロボットに襲われ迎撃する。一方タチコマはメイド用ロボットに接続し調査を行う。,タチコマ、何見てたの？,少佐ー、この人たちは、みんな脳に防壁がありませんね
任務中に別の調査をしていたタチコマに対し草薙素子が文句を言う,あんた私の服としての役目を忘れてない？,そんなつもり ないんだけどなぁ
資産家を保護する任務を行うもすでに資産家は死んでおり、更にその資産家に遺族が無く、遺産はすべて国が押収する事になった。際に草薙素子が言った一言に対するタチコマの返答,理不尽な話よね,１人でため込む方が理不尽なのでは？
狙撃制御システム一体型ヘリのテストを終えたサイトーに話しかけるタチコマ,,ねえねえ、サイトーさーん！どうでした？狙撃制御システム一体型ヘリの感想は？ついに９課にも導入ですか？
狙撃制御システム一体型ヘリのテストの感想を聞きに来たタチコマに返答するサイトー,ダメだな、あれは。狙撃に入ろうとすると何かの干渉を受ける。俺みたいに義体化率の少ない人間にとっちゃー便利どころか制御しづらいだけの不自由な代物だ。,それもそうか、サイトーさんは左目と左腕以外は生身だもんなぁ。無理ないか。
狙撃制御システム一体型ヘリのテストの感想を聞きに来たタチコマに返答するサイトー
サイトーとトグサの義体化について話すタチコマ同士の会話,それもそうか、サイトーさんは左目と左腕以外は生身だもんなぁ。無理ないか。,９課の中じゃ、トグサ君の次に義体化率が少ないサイボーグだしね。
サイトーとトグサの義体化について話すタチコマ同士の会話,９課の中じゃ、トグサ君の次に義体化率が少ないサイボーグだしね。,それで思い出したけど、"サイボーグ"っていう言葉が問題になってるって聞いた？義体化した人に対する差別語だって
サイトーとトグサの義体化について話すタチコマ同士の会話,それで思い出したけど、"サイボーグ"っていう言葉が問題になってるって聞いた？義体化した人に対する差別語だって,それは反動保守の自然主義者の話でしょうが。今のご時世、電脳化にも義体化にも反対なんてどういうつもりなんだろう。
サイトーとトグサの義体化について話すタチコマ同士の会話,それは反動保守の自然主義者の話でしょうが。今のご時世、電脳化にも義体化にも反対なんてどういうつもりなんだろう。,外的な部品を体内に入れるとロボットと人間の境界を侵犯される気がするんだろうね。まあ、気持ちは分かるけど。
サイトーとトグサの義体化について話すタチコマ同士の会話,外的な部品を体内に入れるとロボットと人間の境界を侵犯される気がするんだろうね。まあ、気持ちは分かるけど。,ヤダヤダ。そういう、屈折したラッダイト精神！
サイトーとトグサの義体化について話すタチコマ同士の会話,ヤダヤダ。そういう、屈折したラッダイト精神！, 今日日のＮＰＯにも困ったもんだね
介護施設で働くタチコマ。人々が集まる座敷で散らかった座布団を片付ける,,あーあーあー、もう、しょうがないなあ。
介護施設で働くタチコマ。老人が机にお茶をこぼし、それを拭くタチコマ,,ダメでしょ、お茶こぼしちゃ
公安9課は政治的に悪い状況に追い込まれている。タチコマは介護施設で働く事になり、そこで老人に話かけられるタチコマ,戦況は悪化しておる。,そうなんだ、ジイちゃん。戦況は悪化してるの。昨日爆発した建物…あそこは僕が前に暮らしてた所なんだ。ここは結構居心地いいし、ジイちゃんたちのことも好きだけど、僕どうしても助けたい人がいるんだ。
公安9課は政治的に悪い状況に追い込まれている。タチコマは介護施設で働く事になり、そこで老人に話かけられ、老人から榴弾を渡されるタチコマ,ほい,あっ、ジイちゃん、これって…ジイちゃん ありがとう。僕行くよ
攻撃を受けて破壊された公安9課の建物を訪れたタチコマ。バトーの置いていった天然オイルを発見する。,,バトー君…天然オイル 取っておいてくれたんだ
攻撃を受けて破壊された公安9課の建物を訪れたタチコマ。別のタチコマが現れ、タチコマ同士が会話する。,よおーっ！,あっ、どうしてここに？
攻撃を受けて破壊された公安9課の建物を訪れたタチコマ。別のタチコマが現れ、タチコマ同士が会話する。,あっ、どうしてここに？,反逆児は 最後まで反逆児らしくしないとね
攻撃を受けて破壊された公安9課の建物を訪れたタチコマ。自分とは別に2体のタチコマがやってきてタチコマ同士が会話する。,反逆児は 最後まで反逆児らしくしないとね,みんな独立していながら同じ欲望を持ってたってことだね。バトーさんを助けたいって気持ちはみんな一緒だって。
攻撃を受けて破壊された公安9課の建物を訪れたタチコマ。自分とは別に2体のタチコマがやってきてタチコマ同士が会話する。タチコマがタチコマの手に持っている榴弾に気付く。,それに その手に持ってる榴弾１人じゃ装填もできないんだろう？,うん。でも集まったのは僕たちだけ？
攻撃を受けて破壊された公安9課の建物を訪れたタチコマ。ラボに送られたタチコマと会話する。,でも 集まったのは 僕たちだけ？,ラボ行き組で生き残ったのは僕だけだ。最終実験用に器具につながれたまま放置されてたんで、コード引きちぎって逃げてきた！
攻撃を受けて破壊された公安9課の建物を訪れたタチコマ。建築現場に送られたタチコマと会話する。,でも 集まったのは 僕たちだけ？,僕は建設現場で高所作業中に居ても立ってもいられなくなってね。
攻撃を受けて破壊された公安9課の建物を訪れたタチコマ。建築現場に送られたタチコマと会話する。,キミは？,僕も同じようなもんさ。でも、ラボ組の連中はどうなったの？
攻撃を受けて破壊された公安9課の建物を訪れたタチコマ。建築現場に送られたタチコマと会話する。,僕も同じようなもんさ。でも、ラボ組の連中はどうなったの？,みんな解体されたよ。ほら、本ばかり読んでた奴がいたろ？あいつなんかラボ着いて真っ先に脳ミソバラされたよ。本人は喜んでたみたいだけど。
攻撃を受けて破壊された公安9課の建物を訪れたタチコマ。建築現場に送られたタチコマと会話する。,みんな解体されたよ。ほら、本ばかり読んでた奴がいたろ？あいつなんかラボ着いて真っ先に脳ミソバラされたよ。本人は喜んでたみたいだけど。,そっかあ、じゃあ、みんな死を体験できたんだな。
バトーが敵に攻撃され絶体絶命の状態で奇襲を仕掛けるタチコマ,,今のうちにバトーさんを！
バトーが敵に攻撃され絶体絶命の状態で奇襲を仕掛けるタチコマが別のタチコマと連携を取る,今のうちにバトーさんを！,おうっ！
バトーが敵に攻撃され絶体絶命の状態で、タチコマが敵に奇襲を仕掛ける。敵を退けたタチコマは瀕死なバトーに一言残し、敵を追いかける。,,バトーさん、遅くなってごめんね。敵の通信を傍受するのに手間取っちゃったんだ。必ずあいつをやっつけて戻ってくるから。ここで待っててね。
バトーが敵に攻撃され絶体絶命の状態で、タチコマが敵に奇襲を仕掛ける。敵を退けたタチコマは瀕死なバトーに一言残し、敵を追いかける。タチコマは追い詰められ、最後の一撃を打つも不発。,,神様…僕たちは… なんて… 無力なんだ
バトーが敵に攻撃され絶体絶命の状態で、タチコマが敵に奇襲を仕掛ける。敵を退けたタチコマは瀕死なバトーに一言残し、敵を追いかける。タチコマは追い詰められ、最後の一撃を打つも不発。タチコマが追い詰められた状態で、電脳を介して草薙素子が語りかけてくる,そんなことはない。お前たちが獲得したものは決して無力などではないぞ。,その声は…
